Órgão;Vinculada;Data;Fonte;Descrição;Função;Valor Repassado;Despesa presente no plano de aplicação
SEIL;SEIL;25/07/2024;755;PR-180 trecho Goioerê ISS - OB 2024OB015693;26;R$ 26.701,98;sim
SEIL;SEIL;26/07/2024;755;PR-180 trecho Goioerê Imposto de Renda - OB 2024OB015795;26;R$ 21.208,88;sim
SEED;FUNDEPAR;01/08/2024;755;Retomada da obra da Unidade Nova Escolar Lagoinha - EE Prof Mirelle Maria Franco Zanon Machado - Obra 15, Mandirituba/PR - NF 412 - 1º Medição - OB 2024OB005721;12;R$ 692.759,42;sim
SEED;FUNDEPAR;01/08/2024;755;Retomada da obra da Unidade Nova Escolar Lagoinha - ISS - OB 2024OB005730;12;R$ 3.828,41;sim
SEED;FUNDEPAR;02/08/2024;755;Retomada da obra da Unidade Nova Escolar Lagoinha - Imposto de Renda - OB 2024OB005802;12;R$ 8.460,58;sim
SEIL;DER;14/08/2024;755;Obras de pavimentação da Rodovia PR-092 em Doutor Ulysses - NF 619 - OB 2024OB016621;26;R$ 242.368,03;sim
SEIL;DER;15/08/2024;755;Rodovia PR-092 Imposto de Renda - OB 2024OB016762;26;R$ 12.220,24;sim
SEIL;DER;26/08/2024;755;Reabilitar, restaurar e ampliar capacidade PR-180, trecho Goioerê - NF 9837 e 9838 - OB 2024OB017841;26;R$ 1.337.573,99;sim
SEIL;DER;02/09/2024;755;PR-180 trecho Goioerê ISS | OB 2024OB018327 | NF 9837 e 9838;26;R$ 13.790,17;sim
SEIL;DER;02/09/2024;755;PR-180 trecho Goioerê ISS | OB 2024OB018328 | NF 9837 e 9838;26;R$ 20.985,28;sim
SEIL;DER;03/09/2024;755;PR-180 trecho Goioerê Imposto de Renda | OB 2024OB018357 | NF 9837 e 9838;26;R$ 16.668,21;sim
SEED;FUNDEPAR;04/09/2024;755;Ampliação no Colégio Estadual Pinheiro do Paraná | OB 2024OB006695 | NF 4033 - 1º Medição;12;R$ 63.547,15;sim
SEED;FUNDEPAR;04/09/2024;755;Ampliação no Colégio Estadual Pinheiro do Paraná | ISS | OB 2024OB006704;12;R$ 3.387,37;sim
SEED;FUNDEPAR;05/09/2024;755;Ampliação no Colégio Estadual Pinheiro do Paraná | Imposto de Renda | OB 2024OB006764;12;R$ 812,97;sim
SEED;FUNDEPAR;05/09/2024;755;Retomada da obra de ampliação no Colégio Estadual Pinheiro do Paraná | OB 2024OB006763 | NF 4034 - 2º Medição;12;R$ 49.952,32;sim
SEED;FUNDEPAR;05/09/2024;755;Retomada da obra de ampliação no Colégio Estadual Pinheiro do Paraná | ISS | OB 2024OB006765;12;R$ 6.273,56;sim
SEED;FUNDEPAR;06/09/2024;755;Retomada da obra de ampliação no Colégio Estadual Pinheiro do Paraná | Imposto de Renda | OB 2024OB006833;12;R$ 1.505,66;sim
SEED;FUNDEPAR;06/09/2024;755;Ampliação no Colégio Estadual Pinheiro do Paraná | Pagamento GRPR | OB 2024OB036619 | Protocolo 22.718.271-7 (Incorporadora GRANPARA);12;R$ 67.739,78;sim
SEED;FUNDEPAR;16/09/2024;755;Retomada da obra da Unidade Nova Escolar Lagoinha | OB 2024OB007194 | NF 430 - 2° Medição;12;R$ 369.371,19;sim
SEED;FUNDEPAR;16/09/2024;755;Retomada da obra da Unidade Nova Escolar Lagoinha | ISS | OB 2024OB007201;12;R$ 2.041,26;sim
SEED;FUNDEPAR;17/09/2024;755;Retomada da obra da Unidade Nova Escolar Lagoinha | Imposto de Renda | OB 2024OB007262;12;R$ 4.511,08;sim
SEIL;DER;18/09/2024;755;Consorcio Vale do Ribeira - Obras de pavimentação da Rodovia PR-092 em Doutor Ulysses - OB 2024OB019143;26;R$ 258.845,19;sim
SEIL;DER;20/09/2024;755;Rodovia PR-092 em Doutor Ulysses Imposto de Renda | OB 2024OB019504;26;R$ 13.051,02;sim
SEIL;DER;26/09/2024;755;Consorcio Sanches Tripoloni - PRC-280 Obras de restauração em Whitetopping entre Clevelândia e Pato Branco - NF 4942, 4943, 4944 e 4945 - OB 2024OB020071;26;R$ 1.476.560,67;sim
SEIL;DER;27/09/2024;755;PRC-280 Obras de restauração em Whitetopping entre Clevelândia e Pato Branco ISS | OB 2024OB020196;26;R$ 22.971,64;sim
SEIL;DER;27/09/2024;755;PRC-280 Obras de restauração em Whitetopping entre Clevelândia e Pato Branco ISS | OB 2024OB020197;26;R$ 21.931,79;sim
SEIL;DER;27/09/2024;755;PRC-280 Obras de restauração em Whitetopping entre Clevelândia e Pato Branco ISS | OB 2024OB020198;26;R$ 2.478,04;sim
SEIL;DER;27/09/2024;755;PRC-280 Obras de restauração em Whitetopping entre Clevelândia e Pato Branco ISS | OB 2024OB020199;26;R$ 1.479,10;sim
